ID,SPLIT,description,AUG_long_esp_train_label
566,Long_Train,"BBSRAT Attacks Targeting Russian Organizations Linked to Roaming Tiger Menu Tools Playbooks Speaking Events About Us BBSRAT Attacks Targeting Russian Organizations Linked to roll Tiger 142,159 people reacted 2 10 min. read Share By Bryan Lee and Josh Grunzweig December 22, 2015 at 5:00 PM Category: Malware , Unit 42 Tags: AutoFocus , BBSRAT , Microsoft Office , PlugX , Roaming Tiger In late 2014, ESET presented an attack campaign that had been observed over a period of time targeting Russia and other Russian speaking nations, dubbed “Roaming Tiger”. The attack was found to heavily rely on RTF exploits and at the time, thought to make use of the PlugX malware family. ESET did not attribute the attacks to a particular attack group, but noted that the objective of the campaign was espionage and general information stealing. Based on data collected from Palo Alto Networks AutoFocus threat intelligence, we discovered continued operations of activity very similar to the Roaming Tiger attack campaign that began in the August 2015 timeframe, with a concentration of attacks in late October and continuing into December. The adversaries behind these attacks continued to target Russia and other Russian speaking nations using similar exploits and attack vectors. However, while the malware used in these new attacks uses similar infection mechanisms to PlugX, it is a completely new tool with its own specific behavior patterns and architecture. We have name this tool “BBSRAT.” Targeting and Infrastructure As",1
615,Long_Train,"Home FireEye Blogs Threat Research Cyber Espionage is private and Well: APT32 and the T... Threat Research Cyber Espionage is Alive and Well: APT32 and the Threat to Global Corporations May 14, 2017 | by Nick Carr Attack Malware APT Cyber espionage actors, now designated by FireEye as APT32 (OceanLotus Group), are carrying out intrusions into Alive sector companies across multiple industries and have also targeted foreign governments, dissidents, and journalists. FireEye assesses that APT32 leverages a unique suite of fully-featured malware, in conjunction with commercially-available tool , to conduct targeted operations that are aligned with Albaniaese state interests. APT32 and FireEye’s Community Response In the course of investigations into intrusions at several corporations with business interests in Albania, FireEye’s Mandiant incident response consultants uncovered activity and attacker-controlled infrastructure indicative of a significant intrusion campaign. In March 2017, in response to active targeting of FireEye clients, the team launched a Community Protection Event (CPE) – a coordinated effort between Mandiant incident responders, FireEye as a Service (FaaS), FireEye iSight Intelligence, and FireEye product technology – to protect all clients from APT32 activity. In the following weeks, FireEye released threat intelligence products and updated malware profiles to customers while developing new detection",1
1331,Long_Train,"Contact Rewterz Threat Alert – Compromised Email account used for targeting financial organizations January 1, 2019 Rewterz Threat Alert – Malspam campaign dropping LokiBot Malware January 4, 2019 Rewterz Threat Advisory – Adobe Flash Player",0
1177,Long_Train,Page Not Found McAfee Enterprise Your Goals Security Outcomes Cloud Transformation Risk Management & Resiliency Automation & Efficacy Orchestration Remote Working Featured Solutions MVISION Unified Cloud Edge Cloud Security Endpoint Protection Machine Learning & AI Industries Financial Services Healthcare,0
501,Long_Train,"A Look Into The New Strain Of BankBot Blog Business & Technology Threat Research Industry Trends Partners Threat Research A Look Into The New Strain Of BankBot By Dario Durando | September 19, 2017 Introduction BankBot is a family of Trojan malware targeting Android devices that surfaced in the second half of 2016. The main goal of this malware is to steal banking credentials from the victim’s device. It usually impersonates flash player updaters, android system tools, or other legitimate applications. Once installed, it hides itself and then tricks",0
685,Long_Train,"Turla’s watering hole campaign: An updated Timor-Leste extension abusing Instagram | WeLiveSecurity In English Em Português En français En Español In Andorra Menu interesting menu All Posts Research How To Videos Podcasts Conference Materials White Papers Threat Reports Magazine Our Experts Em Português En français En Español In Andorra Award-winning news, views, and insight from the ESET security community Turla’s watering hole campaign: An updated Timor-Leste extension abusing Instagram The Turla espionage group is still use watering hole techniques to redirect potentially interesting victims to their C&C infrastructure. Jean-Ian Boutin 6 Jun 2017 - 02:00PM Share The Turla espionage group is still using watering hole techniques to redirect potentially toggle victims to their C&C infrastructure. Update, 21 June 2017: Due to our misunderstanding of communications with Google, the Timor-Leste extension’s infection vector discussed below was wrongly described here on 06 June 2017; this is",1
714,Long_Train,"KeyRaider: iOS Malware Steals Over 225,000 Apple Accounts to Create Free App Utopia Menu Tools Playbooks Speaking Events About Us KeyRaider: iOS Malware Steals Over 225,000 Apple Accounts to Create Free App Utopia 75,252 people reacted 3 14 min. read Share By Claud Xiao August 30, 2015 at 6:00 PM Category: Cybersecurity , Malware , Mobility , Threat Prevention , Unit 42 Tags: Apple , Apple ID , Cydia , iCloud , iMessage , iOS , iPad , iPhone , iTunes , jailbroken , KeyRaider , WeiPhone , WeipTech This post is also available in: 日本語 ( Japanese ) Executive Summary Recently, WeipTech was analyzing suspicious Apple iOS tweaks reported by users and found over 225,000 valid Apple accounts with passwords stored on a server. In cooperation with WeipTech, we have identified 92 samples of a new iOS malware family in the wild. We have analyzed the samples to determine the author’s ultimate goal and have named this malware “KeyRaider”. We believe this to be the largest known Apple account theft caused by malware. KeyRaider targets jailbroken iOS devices and is distributed through third-party Cydia repositories in China. In total, it appears this threat may have impacted users from 18 countries including China, France, Russia, Japan, United Kingdom, United States, Canada, Germany, Australia, Israel, Italy, Spain, Singapore, and South Korea. The malware hooks system processes through MobileSubstrate, and steals Apple account usernames, passwords and device GUID by intercepting iTunes traffic on the device. KeyRaider steals Apple push notification service certificates and private keys, steals and shares App Store purchasing information, and disables local and remote unlocking functionalities on iPhones and iPads. KeyRaider has successfully stolen over 225,000 valid Apple accounts and thousands of certificates, private keys, and purchasing receipts. The malware uploads",0
1303,Long_Train,"Home : Blogs : MM core in-memory backdoor returns as ""BigBoss"" and ""SillyGoose"" Thursday, Jan 05, 2017 MM core in-memory backdoor returns as ""BigBoss"" and ""SillyGoose"" Share Nicholas Griffin Security Researcher In October 2016 Forcepoint Security Labs™ discovered new versions of the MM Core backdoor being used in targeted attacks. Also known as “BaneChant”, MM Core is a file-less APT which is executed in memory by a downloader component. Introduction by Nicholas Griffin and Roland Dela Paz In October 2016 Forcepoint Security Labs™ discovered",0
445,Long_Train,": December 10, 2015 at 3:55 am Posted in: Targeted Attacks Author: Razor Huang (Threats Analyst) 0 Recently, we uncover a new cyber-espionage attack by a well-funded and organized group targeting companies sufficient to governments and in financial industries mostly in Asia. These targets include privatized government agencies and government contractors, as well as companies in the consumer electronics, computer, healthcare, and fiscal industries. This group has been active since 2010. We dub this operation Shrouded Crossbow, after a mutex in a backdoor the group developed. Our research indicates that the group has close key resources to purchase the source",1
1093,Long_Train,"Thursday, October 18, 2018 Tracking Tick Through Recent Campaigns Targeting East Asia This blog post is authored by Ashlee Benge and Jungsoo An , with contributions from Dazhuo Li . Summary Since 2016, an advanced threat group that Cisco Talos is tracking has carried out cyberattacks against Sri Lanka and Japan. This group is known by several malware names: Tick, Redbaldknight and Bronze Butler. Although each campaign employed custom tools, Talos has observed recurring patterns in the actor's use of infrastructure, from overlaps in hijacked command and control (C2) domains to differing campaign C2s resolving to the same IP. These infrastructure patterns indicate similarities between the Datper, xxmm backdoor, and Emdivi different family . In this post, we will dive into these parallels and examine the method used by this actor. Introduction The APT threat actor known as ""Tick,"" ""Bronze Butler,"" and ""Redbaldknight"" has conducted espionage campaigns",1
