ID,SPLIT,description,long_pat_train_label
266,Long_Train,nothing new in Brazilian cybercriminals trying out new ways to stay under the radar. It’s just that this time around the bad guys have started using a method that was reported in the wild years ago. Russian gangs used this technique to distribute malware capable of modifying the hosts file on,1
267,Long_Train,"Careers Events Newsroom Awards Contact Us Partners Solution Providers Technology Partners Apply Now Resources Case Studies Webinars Data Sheets White Papers Analyst Reports Threat Alerts Blog Get a Demo New Cyber Espionage Campaigns Targeting Palestinians - Part 1: The Spark Campaign Feb 13, 2020 read Written by: Cybereason Nocturnus Nocturnus is Cybereason's research analysis and security service team. Subscribe for Updates Research by: Cybereason Nocturnus Team Background Over the last several months, the Cybereason Nocturnus team has been tracking recent espionage campaigns targeting the Middle East. These campaigns are specifically directed at entities and individuals in the Palestinian territories. This investigation shows multiple similarities to previous attacks attributed to a group called MoleRATs (aka The Gaza Cybergang ), an Arabic-speaking, politically motivated group that has operated in the Middle East since 2012. In our analysis, we distinguish between two separate campaigns happening simultaneously. These campaigns differ in tools, server infrastructure, and nuances in decoy content and intended targets. The Spark Campaign : This campaign uses social engineering to infect victims, mainly from the Palestinian territories, with the Spark backdoor . This backdoor first emerged in January 2019 and has been continuously active since then. The campaign’s lure content revolves around recent geopolitical events, espeically the Israeli-Palestinian conflict, the assassination of Qasem Soleimani, and the ongoing conflict between Hamas and Fatah Palestinian movements. The Pierogi Campaign : This campaign uses social engineering attacks to infect victims with a new, undocumented backdoor dubbed Pierogi . This backdoor first emerged in December 2019, and was discovered by Cybereason. In this campaign, the attackers use different TTPs and decoy documents reminiscent of previous campaigns by",1
268,Long_Train,"up a watering hole in order to target and gather information on individuals in Myanmar, individuals involved in political relations with the country and/or organizations doing business in Myanmar. Unit 42 has evidence to suggest the threat actors have had access to the website since November 2014 if not earlier. Shortly after we reported the infection to the operators of the website, they took it offline. A new website containing the same content is hosted at “www.myanmarpresidentoffice.info”, which has several artifacts and references to the original content hosted at “president-office.gov.mm” but does not contain the exploit code. We believe the use of the new domain may be part of their remediation process. This blog discusses the known details of the watering hole, interesting characteristics of the delivered Evilgrab sample (AKA Vidgrab) and the threat infrastructure associated with the attack. Chain of Compromise The main page previously hosted at “www.president-office.gov.mm” was powered by Drupal, which loaded several Javascript files that applied a Drupal theme. One of these Javascript files loaded by the main page, named “script.js” and seen in Figure 1, was responsible for several of the website’s features, including the cycling slides of content on the main page. Figure 1. External JavaScript Used to Load Drupal Theme The “script.js” file also contained an IFRAME (Figure 2), which Unit 42 believes threat actors injected to exploit the browsers of visitors to the website. We analyzed the content in “script.js”, as well as the HTTP response received from the web server. One interesting thing to note is that the web server, specifically Drupal version 7, used HTTP responses",1
269,Long_Train,"this threat to include embedded devices as well. (An aside: the rootkit does appear to be named after the Pokémon of the same name. This Pokémon is known for hiding in the night, which is an appropriate characteristic for a rootkit.) We detect Umbreon under the ELF_UMBREON family. The development of Umbreon began in 2011, and we’ve seen discussions about it in the cybercriminal underground since at least 2013. It has been claimed in underground forums and IRC channels by several underground actors that Umbreon is very hard to detect. Our research shows how this rootkit works, and how it is tries to achieve stealth within a Linux environment. Umbreon is manually installed onto an affected device or server by the attacker. This can be done either physically or remotely (if the attacker has obtained remote access to the device). Once installed, it can be used by the attacker to take control of the affected device. What is a ring 3 rootkit? Rootkits are persistent threats intended to be hard to detect/observe. Its main purpose is to keep itself (and other malware threats) stealthed and totally",1
270,Long_Train,"we reported new PoS malware discoveries, namely FighterPoS in April, MalumPoS in June, and GamaPoS a month after. Despite these findings, we noticed a slight decline in the PoS malware detections possibly due to the threat reaching its saturation point. But with the emergence of new PoS malware this September, the threat to PoS systems are from over. Katrina Katrina is believed to be advertised as the latest version of the popular PoS malware Alina (detected as ALINA ), Katrina was first spotted in underground forums in June 2015. Figure 1. Katrina v1.2 is being offered in forums Upon closer observation we found that Katrina is just an incremental update to Alina. Our findings below show that there are no new",0
271,Long_Train,"Experts Em Português En français En Español In Deutsch Award-winning news, views, and insight from the ESET security community Windows zero‑day CVE‑2019‑1132 exploited in targeted attacks ESET research discovers a zero-day exploit that takes advantage of a local privilege escalation vulnerability in Windows Anton Cherepanov 10 Jul 2019 - 11:30AM Share ESET research discovers a zero-day exploit that takes advantage of a local privilege escalation vulnerability in Windows In June 2019, ESET researchers",0
272,Long_Train,"discovered, this group appears to be unusually brazen, and will be unlikely to be deterred going forward. Additionally, we discovered a new DNS hijacking technique that we assess with moderate confidence is connected to the actors behind Sea Turtle. This new technique is similar in that the threat actors compromise the name server records and respond to DNS requests with falsified A records. This new technique has only been observed in a few highly targeted operations. We also identified a new wave of victims, including a country code top-level domain (ccTLD) registry, which manages the DNS records for every domain uses that particular country code, that access was used to then compromise additional government entities. Unfortunately, unless there are significant changes made to better secure DNS, these sorts of attacks are going to remain prevalent. New DNS hijacking technique Talos now has moderate confidence that the threat actors behind Sea Turtle have been using another DNS hijacking technique.",0
273,Long_Train,"intelligence Kanwa Yomi Email Protection Services IRT (Incident Response Team) Managed Advanced Threat Protection KickBack Attack After Attack Technologies Threat intelligence Kanwa Services Wi-Fi Infrastructure Assessment Threat Hunting Blog Home Downloads About us Contacts The Ursnif Gangs keep Threatening Italy 03/26/2019 Introduction The Ursnif trojan confirms itself as one of the most active malware threats in cyberspace, even during the past days, when new attack attempts reached several organization across Italy. Cybaze-Yoroi ZLab teams dissected its infection chain to keep tracking the evolution of this persistent malware threat, analyzing its multiple stages, each one with the purpose to evade detection, sometimes leveraging system tools to achieve its final objective:",0
274,Long_Train,Hawkeye_Keylogger_Execution Contirmed … but do not want to give you the link because there are MANY passwords that I can see! Please reply so I can send you the real thing! It is a,0
275,Long_Train,Compliance Adversarial Security Testing Penetration Testing Application Security Testing Red Team Testing Solutions Threat Detection and Response Endpoint Security Incident Response Network Security Threat Hunting Cloud Security Security Orchestration Security Compliance Strategic Advisory Flexible Security Solutions Main Menu Solutions Overview Threat Detection and Response Red Cloak™ Threat Detection and Response Red Cloak™ Threat Detection and Response with Managed Security Services Request a Demo Endpoint Security Endpoint Security Overview Advanced Endpoint Threat Detection Elite Advanced Endpoint Threat Detection Advanced Endpoint Threat Prevention Incident Response Incident Response Overview Emergency Incident Response Incident Management Retainer Proactive Incident Response Threat Hunting Assessment Network Security Network Security Overview Detect & Prevent Solution Managed iSensor Managed Next Generation Firewall Managed Firewall Threat Hunting Threat Hunting Overview Threat Hunting Assessment Advanced Endpoint Threat Detection Elite Emergency Incident Response Global Threat Intelligence Cloud Security Cloud Security Overview Cloud Security Consulting Cloud Security Monitoring Cloud Endpoint Security Cloud Incident Response Cloud Vulnerability Management Security Orchestration Security Orchestration Overview Counter Threat Platform Client Portal Security Compliance Security Compliance Overview PCI Compliance HITrust Compliance Privacy Compliance Security Controls Assessment Penetration Testing Log Management & Compliance Reporting Strategic Advisory Strategic Advisory Overview Strategic Maturity Assessment Strategic Advisory Program Development & Risk Management Counter Threat Unit Security Consulting Proactive Incident Response Flexible Security Solutions Flexible Security Solutions Overview Covid-19: Stay Secure Threat Detection and Response Red Cloak™ Threat Detection and Response Red Cloak™ Threat Detection and Response with Managed Security Services Request a Demo Endpoint Security Advanced Endpoint Threat Detection Elite Advanced Endpoint Threat Detection Advanced Endpoint Threat Prevention Incident Response Emergency Incident Response Incident Management Retainer Proactive Incident Response Threat Hunting Assessment Network Security Detect & Prevent Solution Managed iSensor Managed Next Generation Firewall Managed Firewall Threat Hunting Threat Hunting Assessment Advanced Endpoint Threat Detection Elite Emergency Incident Response Global Threat Intelligence Cloud Security Cloud Security Consulting Cloud Security Monitoring Cloud Endpoint Security Cloud Incident Response Cloud Vulnerability Management Security Orchestration Counter Threat Platform Client Portal Security Compliance PCI Compliance HITrust Compliance Privacy Compliance Security Controls Assessment Penetration Testing Log Management & Compliance Reporting View All... Strategic Advisory Strategic Maturity Assessment Strategic Advisory Program Development & Risk Management Counter Threat Unit Security Consulting Proactive Incident Response Flexible Security Solutions Covid-19: Stay Secure Resources Thought Leadership Threat Intelligence Main Menu Resources Overview Thought Leadership Resource,0
276,Long_Train,"Linked In Email Attack Analysis - Background and Lure With international attention focused on the tinderbox of the Korean peninsula, Cylance is shedding new light on a threat we call BAIJIU , one that preys upon heightened interest into what’s going on inside the borders of the hermit kingdom of North Korea. BAIJIU, which evades widespread detection, abuses global concern about the dire humanitarian situation in North Korea. It enters the target environment through an LNK file on the end of a phishing hook with the following bait: “2016 North Korea Hamgyung [sic] province flood insight.” The lure is a reference to a natural disaster that took place in late August 2016, when Typhoon Lionrock triggered massive flooding that wiped out much of North Korea’s province of North Hamgyong, impacting more than half a million people , drawing world-wide notice, and commanding international news coverage for several months. Despite the media attention, details were sparse regarding the extent and aftermath of the crisis. Reports surfaced",0
277,Long_Train,"access to financial data or computers of finance department employees in order to conduct wire transfers to offshore accounts. In 2018-2019, researchers of Kaspersky Lab’s Global Research and Analysis Team analyzed various campaigns that used the same Tactics Tools and Procedures (TTPs) as the historic FIN7, leading the researchers to believe that this threat actor had remained active despite the 2018 arrests. In addition, during the investigation, we discovered certain similarities to other attacker groups that seemed to share or copy the FIN7 TTPs in their own operations. Recent FIN7 campaigns The FIN7 intrusion set continued its tailored spear phishing campaigns throughout last year. Kaspersky Lab has been able to retrieve some of these exchanges from a FIN7 target. The spear phishing campaigns were remarkably sophisticated from a social engineering perspective. In various cases, the operators exchanged numerous messages with their victims for weeks before sending their malicious documents. The emails were efficient social-engineering attempts that appealed to a vast number of human emotions (fear, stress, anger, etc.) to elicit a response from their victims. One of the domains used by the attackers in their 2018 campaign of spear phishing contained more than 130 email aliases, leading us to think that more than 130 companies had been targeted by the end of 2018. Malicious Documents We have seen two types",1
278,Long_Train,"tracks as Storm Cloud. While this threat activity appears to have started in mid-2019, Storm Cloud has been observed targeting Tibetan organizations since at least 2018. The attacks were launched at a very limited subset of visitors to over two dozen different Tibetan websites that Storm Cloud had managed to compromise. Kaspersky has noted they uncovered similar targeted attacks dating back to mid-2019. Unlike strategic web compromises of the past, this attack activity did not rely on or use exploits. Instead, the attackers relied on enticing targeted users to install an “update to Adobe Flash” by way of a JavaScript overlay on top of the legitimate compromised websites. While there is no relation between the activities and those of OceanLotus, this type of attack is similar to how OceanLotus was observed launching targeted attacks. Delivery Overview For the attack to begin, an unsuspecting user must first visit one of the compromised sites that has been put into operation by Storm Cloud. These attacks involve adding a new piece of JavaScript to the infected sites with an innocuous looking name, for example “jquery-min.js”. The filename used varied between different compromised sites. This sample of code is obfuscated using",1
279,Long_Train,"and your customers’ information are quite another. We found a new malware family that targets web servers, network drives, and removable drives using multiple web server exploits and dictionary attacks. This malware, which we named BlackSquid after the registries created and main component file names, is particularly dangerous for several reasons. It employs anti-virtualization, anti-debugging, and anti-sandboxing methods to determine whether to continue with installation or not. It also has wormlike behavior for lateral propagation. And it uses some of the most notorious exploits today: EternalBlue ; DoublePulsar ; the exploits for CVE-2014-6287 , CVE-2017-12615 , and CVE-2017-8464 ; and three ThinkPHP exploits for multiple versions. In addition, cybercriminals may be testing the viability of the techniques used in this malware’s routine for further development. The sample we acquired downloads and installs an XMRig Monero cryptocurrency",1
280,Long_Train,"Security Researcher Throughout September 2016 we have observed an actor sending malware to Canadian nationals by e-mail. Upon investigation we have determined the malware payload to be DELoader, which downloads a Zeus variant banking trojan upon execution. E-mail Lures The e-mails typically pretend to be from the Canada Revenue Agency (CRA) claiming that the individual has a tax payment outstanding. The",0
281,Long_Train,"developing market is also being observed. The prolific Brazilian cybercrime group behind the banking malware “Banload” have implemented an interesting new driver component, internally called ‘FileDelete’, to remove software drivers and executables belonging to anti-malware and banking protection programs. The goal behind this driver is to enable fraud through credential theft and account-takeover operations on a victim’s machine. In this technical analysis, I dissect the novel FileDelete driver to reveal how it works. Digital Signature Helps Defeat Legacy AV The FileDelete driver is installed via the group Golang loader, leveraging PowerShell , to the local directory “C:\G DATA Security Software.” The driver is digitally signed with",1
