ID,SPLIT,description,long_tar_train_label
266,Long_Train,"using a method that was reported in the wild years ago. Russian gangs used this technique to distribute malware capable of modifying the hosts file on Windows systems. Published by McAfee in 2013 , the UTF-8 BOM (Byte Order Mark) additional bytes helped these malicious crews avoid detection. Since these campaigns depended",0
267,Long_Train,"distinguish between two separate campaigns happening simultaneously. These campaigns differ in tools, server infrastructure, and nuances in decoy content and intended targets. The Spark Campaign : This campaign uses social engineering to infect victims, mainly from the Palestinian territories, with the Spark backdoor . This backdoor first emerged in January 2019 and has been continuously active since then. The campaign’s lure content revolves around recent geopolitical events, espeically the Israeli-Palestinian conflict, the assassination of Qasem Soleimani, and the ongoing conflict between Hamas and Fatah Palestinian movements. The Pierogi Campaign : This campaign uses social engineering attacks to infect victims with a new, undocumented backdoor dubbed Pierogi . This backdoor first emerged in December 2019, and was discovered by Cybereason. In this campaign, the attackers use different TTPs and decoy documents reminiscent of previous campaigns by MoleRATs involving the Micropsia and Kaperagent malware. In part one of this research, we analyze the Spark campaign. This campaign is named after a rare backdoor used by the MoleRATs Group, dubbed Spark by Cybereason and previously reported by 360’s blog . For a detailed report on the Pierogi campaign, please see part 2 of this research. The creators of the Spark backdoor use several techniques to evade detection and stay under the radar. They pack the malware with a powerful commercial tool called Enigma Packer and implement language checks to ensure the victims are Arabic speaking. This minimizes the risk of detection and infection of unwanted victims. Key Points Cyber Espionage in the Middle East: The Cybereason Nocturnus team has discovered several recent, targeted attacks in the Middle East. These attacks deliver the Spark and",1
268,Long_Train,"threat infrastructure associated with the attack. Chain of Compromise The main page previously hosted at “www.president-office.gov.mm” was powered by Drupal, which loaded several Javascript files that applied a Drupal theme. One of these Javascript files loaded by the main page, named “script.js” and seen in Figure 1, was responsible for several of the website’s features, including the cycling slides of content on the main page. Figure 1. External JavaScript Used to Load Drupal Theme The “script.js” file also contained an IFRAME (Figure 2), which Unit 42 believes threat actors injected to exploit the browsers of visitors to the website. We analyzed the content in “script.js”, as well as the HTTP response received from the web server. One interesting thing to note is that the web server, specifically Drupal version 7, used HTTP responses that contain the “Last-Modified” field for caching purposes. We checked the response for the “script.js” file that contained the injected IFRAME and found a “Last-Modified” date of “Wed, 24 Dec 2014 02:38:58 GMT”, which may suggest that the threat actor injected the IFRAME on December 24, 2014. Figure 2. IFRAME Injected into Drupal JavaScript Unfortunately, we do not have access to the content that was hosted at this location and requests for access currently result in an HTTP 404 Not Found error. Unit 42 cannot determine which vulnerability this code may have exploited without access to the content. But regardless of the vulnerability exploited, our WildFire system detected the payload in transit and classified the file as malware. Unit 42 is aware of another malicious script hosted on the President of Myanmar’s website in",0
269,Long_Train,"how this rootkit works, and how it is tries to achieve stealth within a Linux environment. Umbreon is manually installed onto an affected device or server by the attacker. This can be done either physically or remotely (if the attacker has obtained remote access to the device). Once installed, it can be used by the attacker to take control of the affected device. What is a ring 3 rootkit? Rootkits are persistent threats intended to be hard to detect/observe. Its main purpose is to keep itself (and other malware threats) stealthed and totally hidden from administrators, analysts, users, scanning, forensic, and system tools. They may also open a backdoor and/or use a C&C server and provide an attacker ways to control and spy on the affected machine. There are various execution modes where code can run, with corresponding levels of access. These are: User mode (ring 3) Kernel mode (ring 0) Hypervisor (ring -1) System Management Mode – SMM (ring -2) Research on running rookits within certain chips on motherboards or other devices has been carried out; such a rootkit would run in ring -3. The",0
270,Long_Train,"believed to be advertised as the latest version of the popular PoS malware Alina (detected as ALINA ), Katrina was first spotted in underground forums in June 2015. Figure 1. Katrina v1.2 is being offered in forums Upon closer observation we found that Katrina is just an incremental update to Alina. Our findings below show that there are no new functionalities, with only minor modifications done to User-Agent and differences in the skipped processes. Detail Alina Katrina User-Agent Mozilla/5.0 (Windows NT 6.2; WOW64) AppleWebKit/537.22 (KHTML, like Gecko) Chrome/25.0.1364.152 Safari/537.22 Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0) Names dwm.exe win-firewall.exe adobeflash.exe desktop.exe jucheck.exe jusched.exe java.exe dwm.exe.exe win-firewall.exe adobeflash.exe desktop.exe jucheck.exe jusched.exe java.exetesting.exe userinit.exe windefender.exe svchost.exe Skipped Process AKW.exe QML.exe",0
271,Long_Train,"a local privilege escalation vulnerability in Windows Anton Cherepanov 10 Jul 2019 - 11:30AM Share ESET research discovers a zero-day exploit that takes advantage of a local privilege escalation vulnerability in Windows In June 2019, ESET researchers identified a zero-day exploit being used in a highly targeted attack in Eastern Europe. The exploit abuses a local privilege escalation vulnerability in Microsoft Windows, specifically a NULL pointer dereference in the win32k.sys component. Once the exploit",0
272,Long_Train,"a new wave of victims, including a country code top-level domain (ccTLD) registry, which manages the DNS records for every domain uses that particular country code, that access was used to then compromise additional government entities. Unfortunately, unless there are significant changes made to better secure DNS, these sorts of attacks are going to remain prevalent. New DNS hijacking technique Talos now has moderate confidence that the threat actors behind Sea Turtle have been using another DNS hijacking technique. This new technique has been used very sparingly, and thus far have only identified two entities that were targeted in 2018, though we believe there are likely more. This new technique once again involved modifying the target domain's name server records to point legitimate users to the actor-controlled server. In this case, the actor-controlled name server and the hijacked hostnames would both resolve to the same IP address for a short period of time, typically less than 24 hours.",0
273,Long_Train,"in cyberspace, even during the past days, when new attack attempts reached several organization across Italy. Cybaze-Yoroi ZLab teams dissected its infection chain to keep tracking the evolution of this persistent malware threat, analyzing its multiple stages, each one with the purpose to evade detection, sometimes leveraging system tools to achieve its final objective: run the Ursnif payload. Figure 1: Infection chain of Ursnif malware Technical Analysis Unlike previous waves, this one does not leverage steganography or heavily obfuscated powershell payloads. Instead, it abuses a VB script hidden into a compressed archive embedded within an innocent looking email referencing a summon. When users click on “Decreto” hyperlink, they",0
274,Long_Train,"that I can see! Please reply so I can send you the real thing! It is a treasure-trove of personal information. Linda Reply Linda Nelson Posted on June 3, 2015. 1:47 am IDO I do",0
275,Long_Train,"Maturity Assessment Strategic Advisory Program Development & Risk Management Counter Threat Unit Security Consulting Proactive Incident Response Flexible Security Solutions Flexible Security Solutions Overview Covid-19: Stay Secure Threat Detection and Response Red Cloak™ Threat Detection and Response Red Cloak™ Threat Detection and Response with Managed Security Services Request a Demo Endpoint Security Advanced Endpoint Threat Detection Elite Advanced Endpoint Threat Detection Advanced Endpoint Threat Prevention Incident Response Emergency Incident Response Incident Management Retainer Proactive Incident Response Threat Hunting Assessment Network Security Detect & Prevent Solution Managed iSensor Managed Next Generation Firewall Managed Firewall Threat Hunting Threat Hunting Assessment Advanced Endpoint Threat Detection Elite Emergency Incident Response Global Threat Intelligence Cloud Security Cloud Security Consulting Cloud Security Monitoring Cloud Endpoint Security Cloud Incident Response Cloud Vulnerability Management Security Orchestration Counter Threat Platform Client Portal Security Compliance PCI Compliance HITrust Compliance Privacy Compliance Security Controls Assessment Penetration Testing Log Management & Compliance Reporting View All... Strategic Advisory Strategic Maturity Assessment Strategic Advisory Program Development & Risk Management Counter Threat Unit Security Consulting Proactive Incident Response Flexible Security Solutions Covid-19: Stay Secure Resources Thought Leadership Threat Intelligence Main Menu Resources Overview Thought Leadership Resource Library Blog Threat Intelligence Threat Profiles: Stay Informed Threat Research: Analysis & Advisories Threat Intelligence Report 2020: Vol. 4 View the report Thought Leadership Resource Library Blog Threat Intelligence Threat Profiles: Stay Informed Threat Research: Analysis & Advisories Company About Us The Press Room Connect with Us COVID-19: Stay Secure Main Menu Company Overview About Us Corporate Overview Office Locations Our Leadership The Press Room Investor Relations Events Press Connect with Us Careers Partners Open Letter to Customers COVID-19: Stay Secure COVID-19 Resources Flexible Security Solutions About Us Corporate Overview Office Locations Our Leadership The Press Room Investor Relations Events Press Connect with Us Careers Partners Open Letter to Customers COVID-19: Stay Secure COVID-19 Resources Flexible Security Solutions Emergency Incident Response Start an RFP Talk with an Expert Partners Blog Support Login Close 0 Results Found Back To Results Close Contact Us Research Sakula Malware Family Threat Analysis Sakula Malware Family Thursday, July 30, 2015 By: Dell SecureWorks Counter Threat Unit Threat Intelligence Summary Dell SecureWorks Counter Threat Unit™ (CTU™) researchers analyzed multiple versions of a remote access trojan (RAT) named Sakula (also known as Sakurel and VIPER). The RAT,",0
